                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0753,                 5.9915,                 4.2681,                      0,                      0,                      0,                      0,                 5.2763,                  5.407,                 4.1589,                0.09703,                  3e-05,                  3e-05
                      2,                 4.9097,                  5.636,                 4.0666,                      0,                      0,                      0,                      0,                 4.8211,                   5.13,                  3.677,                0.09307,             6.9861e-05,             6.9861e-05
                      3,                 4.5493,                 4.6754,                 3.6037,                      0,                      0,                      0,                      0,                 4.6058,                 4.9045,                 3.4311,                0.08911,             0.00010956,             0.00010956
                      4,                 4.3854,                 4.2495,                 3.3394,                      0,                      0,                      0,                      0,                 4.4658,                 4.8471,                 3.2027,               0.085149,             0.00014911,             0.00014911
                      5,                 4.1861,                 4.0292,                 3.2394,                  1e-05,                0.00099,                  1e-05,                      0,                 4.4036,                 4.7572,                 3.0709,               0.081188,              0.0001885,              0.0001885
                      6,                 4.0149,                 3.9441,                  3.052,                  2e-05,                0.00044,                  1e-05,                      0,                 4.3526,                 4.8533,                 2.9867,               0.077228,             0.00022772,             0.00022772
                      7,                 3.7383,                 3.7444,                 2.8777,                      0,                0.00059,                      0,                      0,                 4.2847,                 4.9554,                 2.8905,               0.073267,             0.00026679,             0.00026679
                      8,                 3.6595,                   3.73,                   2.78,                  1e-05,                0.00143,                  1e-05,                      0,                 4.2595,                  5.036,                  2.823,               0.069306,              0.0003057,              0.0003057
                      9,                 3.5191,                 3.5102,                 2.5987,                  2e-05,                0.00148,                  1e-05,                      0,                 4.2323,                 7.9704,                 2.7672,               0.065344,             0.00034446,             0.00034446
                     10,                 3.4034,                 3.4623,                 2.5766,                  2e-05,                0.00186,                  3e-05,                  1e-05,                 4.2284,                  6.394,                 2.7523,               0.061383,             0.00038305,             0.00038305
                     11,                 3.2999,                 3.3544,                 2.4352,                  2e-05,                0.00236,                  2e-05,                  1e-05,                  4.222,                 6.0424,                 2.7105,               0.057421,             0.00042149,             0.00042149
                     12,                 3.1554,                 3.2254,                 2.3659,                      0,                0.01778,                  1e-05,                      0,                 4.2641,                 5.4193,                 2.7646,                0.05346,             0.00045976,             0.00045976
                     13,                 3.1349,                 3.1468,                 2.3199,                      0,                0.01778,                  1e-05,                      0,                 4.2694,                 4.9139,                 2.8229,               0.049498,             0.00049788,             0.00049788
                     14,                 3.0314,                 3.0641,                 2.2685,                  8e-05,                0.00033,                0.00021,                0.00012,                 4.1587,                 5.2842,                 2.7207,               0.045536,             0.00053584,             0.00053584
                     15,                 2.9351,                 3.0071,                 2.2452,                  5e-05,                0.00265,                  6e-05,                  2e-05,                 4.1955,                 5.5235,                 2.7359,               0.041574,             0.00057365,             0.00057365
                     16,                 2.8036,                 2.9302,                 2.1391,                  2e-05,                0.00236,                  3e-05,                  1e-05,                 4.1955,                 5.5123,                 2.7404,               0.037611,             0.00061129,             0.00061129
                     17,                 2.8348,                 2.8623,                 2.1572,                0.00036,                0.00211,                0.00023,                0.00011,                 4.1871,                 5.3683,                 2.7461,               0.033649,             0.00064877,             0.00064877
                     18,                 2.7296,                 2.7756,                 2.1183,                0.00014,                0.00066,                  8e-05,                  3e-05,                 4.1759,                 5.4134,                 2.7595,               0.029686,              0.0006861,              0.0006861
                     19,                 2.7586,                 2.8125,                 2.1088,                0.00205,                 0.0013,                0.00106,                 0.0003,                 4.0819,                 5.3478,                 2.6922,               0.025723,             0.00072327,             0.00072327
                     20,                 2.6693,                 2.7312,                 2.0422,                0.00505,                0.00034,                0.00253,                0.00052,                 3.9688,                 5.3733,                 2.6251,                0.02176,             0.00076028,             0.00076028
