                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0014,                 5.5484,                 4.1264,                      0,                      0,                      0,                      0,                  5.298,                 5.5303,                 4.2084,             7.5725e-05,             7.5725e-05,             7.5725e-05
                      2,                 4.1359,                 4.1283,                 3.5639,                      0,                      0,                      0,                      0,                 5.3594,                  5.723,                 4.3263,             0.00015309,             0.00015309,             0.00015309
                      3,                 3.4164,                 3.5234,                 3.1099,                0.00248,                0.00524,                0.00131,                0.00058,                 4.2549,                 4.7554,                 3.5778,             0.00023014,             0.00023014,             0.00023014
                      4,                 2.9493,                 3.0347,                 2.6989,                0.00958,                0.03873,                 0.0141,                0.00457,                 3.6917,                 3.9579,                 3.1783,             0.00023162,             0.00023162,             0.00023162
                      5,                 2.6002,                 2.6246,                  2.439,                0.38843,                0.05238,                0.03118,                0.01245,                 2.7632,                 3.1955,                 2.4191,             0.00023162,             0.00023162,             0.00023162
                      6,                 2.4289,                 2.4698,                 2.3056,                0.28395,                0.10624,                0.05434,                 0.0229,                 2.5151,                 3.0589,                 2.2264,             0.00023115,             0.00023115,             0.00023115
                      7,                 2.2484,                 2.2398,                 2.1339,                0.41098,                0.06936,                0.06006,                0.02816,                 2.4448,                 2.8747,                 2.0727,             0.00023069,             0.00023069,             0.00023069
                      8,                 2.1054,                 2.0614,                 1.9908,                0.59829,                0.07924,                0.07925,                0.03585,                 2.3936,                 2.8776,                 2.1184,             0.00023023,             0.00023023,             0.00023023
                      9,                 2.0027,                  1.942,                  1.887,                0.59383,                0.08559,                0.08807,                 0.0473,                 2.3258,                  2.875,                 1.9452,             0.00022977,             0.00022977,             0.00022977
                     10,                 1.8824,                 1.8011,                 1.7902,                0.59095,                0.11084,                 0.1224,                0.05398,                 2.2647,                 2.5918,                 1.8762,             0.00022931,             0.00022931,             0.00022931
                     11,                 1.8519,                 1.7252,                  1.743,                0.29377,                0.14097,                0.13378,                0.06812,                 2.1101,                 4.0956,                 1.7608,             0.00022885,             0.00022885,             0.00022885
                     12,                 1.7636,                 1.6639,                 1.6927,                0.59669,                0.13499,                0.13053,                   0.07,                 2.0138,                 2.4682,                 1.7419,             0.00022839,             0.00022839,             0.00022839
                     13,                  1.668,                 1.5699,                 1.6236,                0.57545,                0.17286,                 0.1715,                0.09328,                 1.9519,                 2.4438,                 1.6598,             0.00022793,             0.00022793,             0.00022793
                     14,                 1.6785,                 1.5237,                 1.5764,                 0.6225,                0.17585,                0.18846,                0.09851,                 1.8775,                 2.5702,                 1.6074,             0.00022746,             0.00022746,             0.00022746
                     15,                 1.5838,                 1.4372,                 1.5313,                0.59341,                0.18509,                0.17129,                0.08498,                 1.8753,                 2.3505,                  1.602,               0.000227,               0.000227,               0.000227
                     16,                 1.5508,                 1.4165,                 1.5007,                 0.5667,                0.20274,                0.21115,                0.11664,                 1.8656,                 2.3221,                  1.602,             0.00022654,             0.00022654,             0.00022654
                     17,                 1.5362,                 1.4014,                 1.4855,                0.64468,                0.18591,                0.24085,                0.13191,                 1.8662,                 2.3777,                 1.5634,             0.00022608,             0.00022608,             0.00022608
                     18,                 1.4833,                 1.3213,                 1.4484,                0.53851,                0.19636,                0.20796,                0.10859,                 1.8208,                 2.3365,                 1.5366,             0.00022562,             0.00022562,             0.00022562
                     19,                 1.4705,                 1.3054,                 1.4382,                0.67837,                0.22759,                0.26466,                0.13968,                 1.7979,                 2.0191,                  1.542,             0.00022516,             0.00022516,             0.00022516
                     20,                 1.4183,                 1.2443,                 1.3973,                0.58044,                 0.1956,                0.26885,                0.13772,                 1.8291,                 2.3954,                 1.5469,              0.0002247,              0.0002247,              0.0002247
                     21,                 1.4273,                 1.2477,                 1.3921,                0.73197,                0.23902,                0.29403,                0.16429,                 1.7633,                 1.9956,                 1.4922,             0.00022423,             0.00022423,             0.00022423
                     22,                 1.4028,                 1.2087,                 1.3684,                0.71164,                 0.2325,                0.25904,                0.13702,                 1.7888,                 2.5357,                 1.4797,             0.00022377,             0.00022377,             0.00022377
                     23,                 1.3657,                 1.1628,                 1.3558,                0.55335,                0.24222,                0.26609,                0.15472,                 1.7127,                 2.1583,                 1.4742,             0.00022331,             0.00022331,             0.00022331
