                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4263,                 6.1495,                  4.297,                      0,                      0,                      0,                      0,                 5.4161,                 5.4183,                 4.1583,               9.08e-06,               9.08e-06,               9.08e-06
                      2,                 5.5049,                 6.1575,                 4.2827,                      0,                      0,                      0,                      0,                  5.416,                 5.4185,                 4.1584,              2.039e-05,              2.039e-05,              2.039e-05
                      3,                 5.4223,                 6.0324,                 4.2444,                      0,                      0,                      0,                      0,                 5.4154,                 5.4216,                 4.1585,             3.1654e-05,             3.1654e-05,             3.1654e-05
                      4,                 5.4155,                  5.835,                 4.1799,                      0,                      0,                      0,                      0,                 5.4156,                 5.4311,                 4.1605,             4.2874e-05,             4.2874e-05,             4.2874e-05
                      5,                 5.3354,                 5.5828,                 4.1082,                      0,                      0,                      0,                      0,                 5.4184,                  5.447,                 4.1649,             5.4049e-05,             5.4049e-05,             5.4049e-05
                      6,                 5.2245,                 5.2672,                 3.9708,                      0,                      0,                      0,                      0,                 5.4229,                 5.4753,                 4.1731,             6.5178e-05,             6.5178e-05,             6.5178e-05
                      7,                 5.0702,                 4.9449,                 3.8576,                      0,                      0,                      0,                      0,                 5.4301,                 5.5221,                 4.1907,             7.6263e-05,             7.6263e-05,             7.6263e-05
                      8,                 4.8167,                 4.6735,                 3.7671,                      0,                      0,                      0,                      0,                 5.4378,                  5.577,                 4.2125,             8.7303e-05,             8.7303e-05,             8.7303e-05
                      9,                 4.5943,                 4.4375,                 3.6586,                      0,                      0,                      0,                      0,                 5.4482,                 5.6377,                 4.2394,             9.8298e-05,             9.8298e-05,             9.8298e-05
                     10,                 4.3755,                 4.1887,                 3.5957,                      0,                      0,                      0,                      0,                  5.458,                 5.6942,                 4.2648,             0.00010925,             0.00010925,             0.00010925
                     11,                 4.1682,                 4.0664,                 3.5311,                      0,                      0,                      0,                      0,                 5.4657,                 5.7441,                  4.288,             0.00012015,             0.00012015,             0.00012015
                     12,                 4.0292,                 3.9528,                 3.4235,                      0,                      0,                      0,                      0,                 5.4712,                 5.7748,                 4.3006,             0.00013101,             0.00013101,             0.00013101
                     13,                 3.8533,                 3.7784,                 3.3306,                      0,                      0,                      0,                      0,                 5.4728,                    5.8,                 4.3092,             0.00014183,             0.00014183,             0.00014183
                     14,                 3.7215,                 3.6358,                 3.1901,                      0,                      0,                      0,                      0,                 5.4841,                 5.8421,                 4.3351,              0.0001526,              0.0001526,              0.0001526
                     15,                 3.5444,                 3.5326,                   3.08,                      0,                      0,                      0,                      0,                 5.4799,                 5.8258,                 4.3255,             0.00016332,             0.00016332,             0.00016332
                     16,                 3.3808,                 3.3554,                 2.9371,                      0,                      0,                      0,                      0,                 5.4899,                 5.8836,                 4.3492,               0.000174,               0.000174,               0.000174
                     17,                  3.245,                 3.2066,                 2.8315,                      0,                      0,                      0,                      0,                 5.4788,                 5.8328,                 4.3224,             0.00018464,             0.00018464,             0.00018464
                     18,                 3.0856,                 3.1246,                 2.7539,                      0,                      0,                      0,                      0,                 5.4986,                 5.8844,                 4.3658,             0.00019523,             0.00019523,             0.00019523
                     19,                 2.9546,                 2.9596,                 2.6266,                      0,                      0,                      0,                      0,                 5.4906,                 5.8338,                 4.3458,             0.00020578,             0.00020578,             0.00020578
                     20,                 2.8444,                 2.9148,                 2.5631,                      0,                      0,                      0,                      0,                 5.4709,                 5.7215,                 4.2968,             0.00021628,             0.00021628,             0.00021628
                     21,                 2.7711,                 2.8097,                 2.4683,                0.00292,                0.00012,                 0.0015,                0.00048,                 5.3867,                  5.496,                 4.2016,             0.00021801,             0.00021801,             0.00021801
                     22,                 2.6879,                 2.6558,                 2.3819,                 0.0018,                0.00572,                0.00129,                0.00045,                  4.641,                 4.5987,                 3.7341,             0.00021801,             0.00021801,             0.00021801
                     23,                 2.5762,                 2.5884,                 2.3193,                0.00614,                0.01426,                0.00426,                0.00156,                 4.0149,                 4.0393,                 3.3855,             0.00021756,             0.00021756,             0.00021756
                     24,                 2.4964,                 2.4838,                 2.2696,                0.00895,                0.02587,                0.00764,                0.00279,                  3.538,                 3.6779,                  3.052,             0.00021711,             0.00021711,             0.00021711
                     25,                 2.3877,                 2.3953,                 2.2188,                0.00524,                0.04606,                0.00801,                0.00308,                 3.2102,                 3.4788,                 2.8061,             0.00021666,             0.00021666,             0.00021666
                     26,                 2.2955,                 2.2736,                 2.1215,                0.02771,                0.09732,                0.03254,                0.01385,                 3.0892,                 3.2881,                  2.695,             0.00021621,             0.00021621,             0.00021621
                     27,                 2.2707,                 2.2753,                 2.1193,                 0.0235,                0.07919,                0.02892,                0.01151,                 3.1847,                 3.3828,                 2.7658,             0.00021576,             0.00021576,             0.00021576
                     28,                 2.2557,                 2.2559,                 2.0905,                 0.0491,                0.14748,                0.06238,                0.03306,                 2.6587,                 2.8703,                  2.402,             0.00021531,             0.00021531,             0.00021531
                     29,                 2.1851,                 2.1447,                 2.0408,                0.03713,                 0.1964,                0.07697,                0.03824,                 2.5099,                 2.7179,                 2.3079,             0.00021486,             0.00021486,             0.00021486
