                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4764,                  6.197,                 4.2661,                      0,                      0,                      0,                      0,                  5.414,                 5.4223,                 4.1575,                 0.0023,                 0.0023,                 0.0023
                      2,                 4.8678,                 5.2242,                 3.8673,                      0,                      0,                      0,                      0,                 5.4509,                 5.5102,                 4.2302,              0.0046907,              0.0046907,              0.0046907
                      3,                 3.7344,                 4.0329,                 3.0214,                      0,                      0,                      0,                      0,                 5.5049,                 5.6659,                 4.3531,              0.0070719,              0.0070719,              0.0070719
                      4,                 2.9945,                 3.4225,                 2.4786,                0.00176,                0.02163,                0.00118,                0.00034,                 4.1764,                 4.6375,                 3.5041,              0.0094436,              0.0094436,              0.0094436
                      5,                 2.4961,                 2.9581,                  2.059,                0.05563,                0.00018,                  2e-05,                  1e-05,                 4.2143,                 13.221,                 3.3526,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.1151,                 2.5714,                 1.7826,                0.00604,                0.01033,                0.00371,                0.00122,                 4.1873,                 4.3612,                 3.4384,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.8813,                 2.2624,                 1.6124,                 0.0282,                0.00942,                0.01417,                0.00706,                 3.6399,                 5.9366,                 2.9993,               0.009901,               0.009901,               0.009901
                      8,                 1.7438,                  2.088,                 1.5178,                0.01935,                0.02279,                0.01257,                0.00551,                 3.6534,                 11.678,                 3.2003,              0.0098812,              0.0098812,              0.0098812
                      9,                  1.612,                 1.8948,                 1.4332,                0.39419,                0.01619,                0.02125,                0.00779,                 3.4747,                 3.9075,                 3.0917,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.5363,                 1.7638,                 1.3737,                0.03585,                0.07056,                0.03032,                0.01172,                 3.1332,                 4.6414,                 2.5361,              0.0098416,              0.0098416,              0.0098416
