                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2234,                 6.7788,                 4.2001,                      0,                      0,                      0,                      0,                 5.5198,                 5.3707,                 4.1681,              0.0032576,              0.0032576,              0.0032576
                      2,                 4.0445,                 5.2764,                 3.4032,                      0,                      0,                      0,                      0,                 5.6167,                 5.5254,                 4.3181,              0.0065779,              0.0065779,              0.0065779
                      3,                 3.2964,                 4.5754,                 2.7777,                0.30917,                 0.0472,                0.00847,                0.00209,                 3.8856,                 5.7402,                 3.3035,              0.0098849,              0.0098849,              0.0098849
                      4,                 2.8946,                 4.2104,                 2.3826,                0.00895,                0.17522,                0.01932,                0.00802,                 3.0423,                 6.3708,                 2.6313,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.5656,                 3.4736,                  2.117,                 0.2856,                0.02596,                0.01342,                0.00318,                 3.6119,                 4.4761,                 2.9485,              0.0099406,              0.0099406,              0.0099406
                      6,                 2.3171,                 3.0323,                  1.932,                0.44674,                0.10178,                0.07631,                0.02936,                 3.0099,                 4.1742,                 2.6441,              0.0099208,              0.0099208,              0.0099208
                      7,                 2.1345,                 2.7083,                 1.7979,                0.50644,                0.16124,                0.17442,                0.10053,                 2.5579,                 3.2837,                 2.2819,               0.009901,               0.009901,               0.009901
                      8,                 1.9857,                 2.3941,                 1.6903,                0.68436,                0.11431,                0.12197,                0.07327,                 2.5848,                 3.4602,                 2.2929,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.8952,                 2.2718,                  1.634,                0.68778,                0.07572,                0.13194,                0.06032,                 2.6314,                 3.2088,                 2.2509,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.7833,                 2.0581,                 1.5607,                0.87276,                0.08076,                 0.1523,                0.07147,                 2.9317,                 3.1734,                 2.4528,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.7232,                 1.9289,                 1.5166,                0.40441,                0.08404,                0.07933,                0.02891,                 3.3883,                 4.8282,                 2.7233,              0.0098218,              0.0098218,              0.0098218
                     12,                   1.66,                 1.7671,                 1.4447,                0.55875,                0.18982,                0.22638,                0.12087,                 2.5778,                 2.9663,                 2.2044,               0.009802,               0.009802,               0.009802
                     13,                 1.6339,                 1.7008,                 1.4283,                 0.8981,                0.12082,                0.21803,                0.13313,                 2.7081,                 2.7179,                 2.4155,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.5912,                 1.6479,                 1.4292,                 0.4607,                0.03678,                0.04274,                0.02552,                 2.8028,                 5.2214,                 2.3935,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.5318,                  1.579,                 1.3768,                 0.6061,                0.12631,                0.11616,                0.05107,                  3.125,                  4.473,                 2.5103,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.4993,                 1.5135,                 1.3765,                0.63157,                0.15304,                0.15277,                0.08542,                 2.7144,                 3.5408,                 2.3264,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.4779,                 1.4368,                 1.3494,                0.54641,                0.38568,                0.38008,                0.25143,                 2.1632,                 2.2206,                 1.9425,               0.009703,               0.009703,               0.009703
                     18,                 1.4607,                  1.396,                 1.3275,                0.47808,                0.15476,                0.19887,                0.10557,                 2.7186,                 3.0089,                 2.3092,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.4427,                 1.3351,                   1.32,                0.57283,                0.17593,                0.20354,                0.09449,                 2.8914,                 3.0773,                 2.4571,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.4149,                 1.3135,                 1.3017,                0.63173,                0.40072,                0.42862,                0.27223,                  2.003,                 1.8263,                  1.816,              0.0096436,              0.0096436,              0.0096436
                     21,                 1.4109,                 1.2915,                 1.2864,                0.67654,                0.33791,                0.29022,                0.17893,                 2.4098,                 2.2879,                 2.0864,              0.0096238,              0.0096238,              0.0096238
                     22,                 1.4026,                 1.2685,                  1.305,                0.50693,                0.28781,                0.27424,                 0.1464,                 2.6161,                 2.5797,                  2.261,               0.009604,               0.009604,               0.009604
                     23,                 1.3695,                   1.23,                  1.289,                0.51303,                0.33965,                0.31499,                0.19076,                 2.3075,                 2.1727,                  1.979,              0.0095842,              0.0095842,              0.0095842
                     24,                 1.3364,                 1.1878,                 1.2604,                0.54791,                0.27318,                0.26576,                0.14533,                 2.6057,                 2.2601,                 2.2623,              0.0095644,              0.0095644,              0.0095644
                     25,                  1.341,                 1.1656,                 1.2573,                0.67023,                0.39675,                0.46342,                0.29329,                 2.0731,                 1.7449,                 1.8715,              0.0095446,              0.0095446,              0.0095446
                     26,                 1.3251,                 1.1285,                 1.2372,                0.59265,                0.14325,                0.18754,                0.10069,                 2.7906,                 3.1419,                 2.3682,              0.0095248,              0.0095248,              0.0095248
                     27,                 1.3182,                 1.1186,                 1.2511,                 0.6228,                0.46153,                0.47967,                0.30683,                 2.0069,                 1.8134,                 1.7987,               0.009505,               0.009505,               0.009505
                     28,                 1.3035,                 1.1129,                 1.2443,                0.69109,                0.34158,                0.39815,                0.21192,                 2.3737,                 2.0606,                 2.0481,              0.0094852,              0.0094852,              0.0094852
                     29,                 1.2997,                 1.0873,                 1.2247,                 0.5238,                0.38917,                0.44464,                0.26149,                  2.003,                 1.7225,                 1.7956,              0.0094654,              0.0094654,              0.0094654
                     30,                 1.2834,                 1.0511,                 1.2264,                0.69714,                0.34967,                0.40973,                0.23456,                 2.1216,                 2.3681,                  1.918,              0.0094456,              0.0094456,              0.0094456
                     31,                 1.2754,                 1.0674,                 1.2307,                0.57342,                 0.3259,                0.35651,                0.19873,                 2.1606,                 2.2052,                 1.9592,              0.0094258,              0.0094258,              0.0094258
                     32,                 1.2346,                 1.0203,                 1.2059,                0.49715,                0.47994,                0.47312,                0.28848,                 1.8856,                 1.8477,                 1.8349,               0.009406,               0.009406,               0.009406
                     33,                 1.2516,                 1.0035,                 1.2145,                0.59775,                0.39327,                 0.4045,                0.24987,                 1.9175,                 1.9223,                 1.7691,              0.0093862,              0.0093862,              0.0093862
                     34,                 1.2343,                0.99659,                 1.2165,                0.48089,                0.24909,                0.24359,                0.14544,                 2.3333,                 2.6215,                 2.0685,              0.0093664,              0.0093664,              0.0093664
                     35,                 1.2528,                 1.0038,                 1.2166,                0.60179,                0.42693,                0.44418,                0.27128,                 2.1872,                  1.965,                 1.9543,              0.0093466,              0.0093466,              0.0093466
